# Command: python imdb_movie_toolkit.py --basics-path /path/to/title.basics.tsv.gz --ratings-path /path/to/title.ratings.tsv.gz --start-year 2010 --end-year 2012 --title-type tvSeries --format csv --output samples/sample_tvseries.csv

tconst,primaryTitle,startYear,averageRating,numVotes,genres,runtimeMinutes,titleType
tt2185037,Running Man,2010,9.1,3994,"Comedy,Game-Show,Reality-TV",80,tvSeries
tt1708523,The Island,2010,9.1,3309,Drama,45,tvSeries
tt6119392,Vsauce,2010,9.1,928,Documentary,,tvSeries
tt1475582,Sherlock,2010,9.0,1066578,"Crime,Drama,Mystery",90,tvSeries
tt7248250,VideoGameDunkey,2010,9.0,1660,Comedy,,tvSeries
tt1832668,How the Universe Works,2010,8.9,7621,Documentary,60,tvSeries
tt2735544,Aerial America,2010,8.9,884,Documentary,44,tvSeries
tt1795096,Behzat Ç: An Ankara Detective Story,2010,8.8,35512,"Crime,Drama,Mystery",90,tvSeries
tt2404721,Dastaan,2010,8.8,1313,"Drama,History,Romance",,tvSeries
tt1821820,Edwardian Farm,2010,8.8,641,"Adventure,Documentary",59,tvSeries
tt1606375,Downton Abbey,2010,8.7,241137,"Drama,Romance",60,tvSeries
tt3198590,The Slow Mo Guys,2010,8.7,1007,Documentary,,tvSeries
tt0979432,Boardwalk Empire,2010,8.6,214602,"Crime,Drama",60,tvSeries
tt1305826,Adventure Time,2010,8.6,127961,"Action,Adventure,Animation",23,tvSeries
tt1489428,Justified,2010,8.6,127898,"Action,Crime,Drama",45,tvSeries
tt1710308,Regular Show,2010,8.6,69941,"Action,Adventure,Animation",23,tvSeries
tt1641384,Young Justice,2010,8.6,49917,"Action,Adventure,Animation",23,tvSeries
tt1513168,Through the Wormhole,2010,8.6,19282,Documentary,60,tvSeries
tt1877368,The Great British Baking Show,2010,8.6,14842,"Game-Show,Reality-TV",60,tvSeries
tt1657563,Check It Out! with Dr. Steve Brule,2010,8.6,7195,"Comedy,Talk-Show",11,tvSeries
tt5897920,Your Movie Sucks,2010,8.6,4233,"Comedy,Talk-Show",,tvSeries
tt1948541,Broad City,2010,8.6,3709,"Comedy,Short",,tvSeries
tt2150568,Immersion,2010,8.6,1077,Comedy,,tvSeries
tt2033616,Fake or Fortune,2010,8.6,768,"Documentary,Mystery",63,tvSeries
tt1492966,Louie,2010,8.5,84714,"Comedy,Drama",22,tvSeries
tt1526318,Borgen,2010,8.5,31921,Drama,58,tvSeries
tt1587000,Rake,2010,8.5,9252,"Comedy,Drama",60,tvSeries
tt1711386,Dag,2010,8.5,5523,"Comedy,Drama",23,tvSeries
tt2290891,Al Kabeer,2010,8.5,4694,"Comedy,Romance",35,tvSeries
tt2362231,JonTron,2010,8.5,3553,Comedy,,tvSeries
tt1739744,Powder,2010,8.5,844,"Crime,Thriller",,tvSeries
tt1739752,Rishta.com,2010,8.5,543,Drama,45,tvSeries
tt1721556,Elvira's Movie Macabre,2010,8.5,524,Horror,120,tvSeries
tt1442449,Spartacus,2010,8.4,290113,"Action,Adventure,Biography",60,tvSeries
tt1474684,Luther,2010,8.4,161302,"Crime,Drama,Mystery",60,tvSeries
tt1553644,The Ricky Gervais Show,2010,8.4,17531,"Animation,Comedy,Talk-Show",30,tvSeries
tt1625724,Love/Hate,2010,8.4,9450,"Crime,Drama",51,tvSeries
tt5747554,Battle for Dream Island,2010,8.4,1516,"Animation,Comedy,Family",,tvSeries
tt1151910,The Buried Life,2010,8.4,640,"Documentary,Reality-TV",22,tvSeries
tt1546139,The Green Room with Paul Provenza,2010,8.4,565,Talk-Show,30,tvSeries
tt1344204,Blue Mountain State,2010,8.3,62613,"Comedy,Sport",22,tvSeries
tt1416765,Parenthood,2010,8.3,42743,"Comedy,Drama",60,tvSeries
tt1702042,An Idiot Abroad,2010,8.3,35380,"Adventure,Comedy,Documentary",43,tvSeries
tt1626038,The Avengers: Earth's Mightiest Heroes,2010,8.3,17637,"Action,Adventure,Animation",30,tvSeries
tt1279972,Treme,2010,8.3,16704,"Drama,Music",60,tvSeries
tt1493239,Terriers,2010,8.3,11642,"Comedy,Crime,Drama",45,tvSeries
tt1821229,The Being Frank Show,2010,8.3,6742,Talk-Show,,tvSeries
tt1530541,Offspring,2010,8.3,5923,"Comedy,Drama",60,tvSeries
tt1923623,Mid Morning Matters with Alan Partridge,2010,8.3,3458,Comedy,23,tvSeries
tt1514753,Three Kingdoms,2010,8.3,1521,"Drama,History,War",45,tvSeries
tt1719837,Hardy Bucks,2010,8.3,1122,Comedy,30,tvSeries
tt1632065,Mother,2010,8.3,578,Drama,54,tvSeries
tt1637574,Conan,2010,8.2,25482,"Comedy,Music,Talk-Show",42,tvSeries
tt1660055,Scooby-Doo! Mystery Incorporated,2010,8.2,21366,"Adventure,Animation,Comedy",23,tvSeries
tt1674553,Penoza,2010,8.2,4287,"Crime,Drama,Thriller",45,tvSeries
tt1610860,"Rainbow: The Seven from Compound Two, Cell Six",2010,8.2,3588,"Animation,Crime,Drama",30,tvSeries
tt1525780,The Weissensee Saga,2010,8.2,2502,Drama,50,tvSeries
tt1678749,Mongrels,2010,8.2,1564,Comedy,30,tvSeries
tt1827070,Drew Carey's Improv-A-Ganza,2010,8.2,1272,"Comedy,Game-Show",30,tvSeries
tt1764129,In Treatment,2010,8.2,704,Drama,,tvSeries
tt1666727,The Neistat Brothers,2010,8.2,516,"Biography,Comedy",,tvSeries
tt1520211,The Walking Dead,2010,8.1,1167327,"Drama,Horror,Thriller",45,tvSeries
tt1492179,Strike Back,2010,8.1,35000,"Action,Drama,Thriller",45,tvSeries
tt1515193,The Big C,2010,8.1,16815,"Comedy,Drama",30,tvSeries
tt1618952,Gönülçelen,2010,8.1,10904,"Drama,Music",90,tvSeries
tt1659175,Transformers Prime,2010,8.1,10006,"Action,Adventure,Animation",30,tvSeries
tt1593584,Solsidan,2010,8.1,8621,"Comedy,Drama",22,tvSeries
tt1558128,Todd and the Book of Pure Evil,2010,8.1,4392,"Comedy,Horror,Sci-Fi",,tvSeries
tt2039625,Epic Rap Battles of History,2010,8.1,3748,"Comedy,History,Music",5,tvSeries
tt1709198,Sym-Bionic Titan,2010,8.1,3622,"Action,Adventure,Animation",,tvSeries
tt1943898,Adaalat,2010,8.1,1795,"Comedy,Crime,Drama",42,tvSeries
tt2004927,Sssshh... Phir Koi Hai (Tritiya),2010,8.1,897,Horror,,tvSeries
tt1615919,Raising Hope,2010,8.0,42794,"Comedy,Family",22,tvSeries
tt1841321,Secret Garden,2010,8.0,8459,"Comedy,Drama,Fantasy",60,tvSeries
tt1698441,The Trip,2010,8.0,8311,Comedy,172,tvSeries
tt1567254,The Good Guys,2010,8.0,7750,"Action,Comedy",60,tvSeries
tt1551948,Dance Academy,2010,8.0,5366,"Drama,Family,Music",24,tvSeries
tt1738419,Bakuman.,2010,8.0,3015,"Animation,Comedy,Drama",24,tvSeries
tt1666209,Dong Yi,2010,8.0,2514,"Adventure,Drama,History",60,tvSeries
tt2076566,Mysteries at the Museum,2010,8.0,1535,"Adventure,Biography,Crime",60,tvSeries
tt1365047,Who Do You Think You Are?,2010,8.0,1528,"Biography,Documentary,History",60,tvSeries
tt1563697,Food Revolution,2010,8.0,847,Reality-TV,60,tvSeries
tt1825371,Kamen Rider OOO,2010,8.0,740,"Action,Adventure,Comedy",24,tvSeries
tt1654842,True Blood: Webisodes,2010,8.0,685,"Drama,Fantasy,Horror",5,tvSeries
tt1299365,How to Make It in America,2010,7.9,16649,"Comedy,Drama",30,tvSeries
tt1621748,Ugly Americans,2010,7.9,11563,"Animation,Comedy,Fantasy",30,tvSeries
tt1389371,Rubicon,2010,7.9,11477,"Crime,Drama,Mystery",45,tvSeries
tt1634208,Maid Sama!,2010,7.9,10349,"Animation,Comedy,Romance",24,tvSeries
tt1769411,Accused,2010,7.9,3532,"Crime,Drama,Mystery",60,tvSeries
tt1731601,The Indian Doctor,2010,7.9,1782,"Drama,History",,tvSeries
tt1524415,Spirited,2010,7.9,1709,"Comedy,Drama,Fantasy",60,tvSeries
tt1528852,Pure Pwnage,2010,7.9,925,Comedy,,tvSeries
tt2107314,Rehab Addict,2010,7.9,876,Reality-TV,,tvSeries
tt1870946,Oddities,2010,7.9,774,Reality-TV,22,tvSeries
tt1711419,Surviving the Cut,2010,7.9,588,Reality-TV,,tvSeries
tt1821771,"Baker King, Kim Tak Goo",2010,7.9,557,"Drama,Family,Romance",90,tvSeries
tt1751105,My Little Pony: Friendship Is Magic,2010,7.8,25088,"Adventure,Animation,Comedy",22,tvSeries
tt1622696,Ben 10: Ultimate Alien,2010,7.8,14137,"Action,Adventure,Animation",22,tvSeries
tt1584000,Durarara!!,2010,7.8,8539,"Animation,Comedy,Crime",24,tvSeries
tt1493923,Him & Her,2010,7.8,5091,Comedy,28,tvSeries
tt1588221,Rev.,2010,7.8,3129,Comedy,30,tvSeries
tt1765510,R.L. Stine's the Haunting Hour,2010,7.8,3116,"Action,Adventure,Comedy",23,tvSeries
tt1706532,Grandma's House,2010,7.8,1250,Comedy,30,tvSeries
